channel,leads_signups,days_to_convert,converted_to_paid
Channel 2,835,73,1
Channel 2,835,70,1
Channel 2,835,69,1
Channel 2,835,48,1
Channel 2,835,41,1
Channel 2,835,36,1
Channel 2,835,34,1
Channel 2,835,32,1
Channel 2,835,30,1
Channel 2,835,29,1
Channel 2,835,28,1
Channel 2,835,27,1
Channel 2,835,25,1
Channel 2,835,24,1
Channel 2,835,22,1
Channel 2,835,20,2
Channel 2,835,19,1
Channel 2,835,17,2
Channel 2,835,16,1
Channel 2,835,15,1
Channel 2,835,14,2
Channel 2,835,13,1
Channel 2,835,11,2
Channel 2,835,10,2
Channel 2,835,9,1
Channel 2,835,8,3
Channel 2,835,7,5
Channel 2,835,6,4
Channel 2,835,4,5
Channel 2,835,3,6
Channel 2,835,2,5
Channel 2,835,1,5
Channel 2,835,0,7
Channel 3,333,73,1
Channel 3,333,61,1
Channel 3,333,54,1
Channel 3,333,53,2
Channel 3,333,49,1
Channel 3,333,57,1
Channel 3,333,50,1
Channel 3,333,47,1
Channel 3,333,44,1
Channel 3,333,42,1
Channel 3,333,41,1
Channel 3,333,39,1
Channel 3,333,37,1
Channel 3,333,34,2
Channel 3,333,31,1
Channel 3,333,30,1
Channel 3,333,29,1
Channel 3,333,28,1
Channel 3,333,27,2
Channel 3,333,26,1
Channel 3,333,25,2
Channel 3,333,24,1
Channel 3,333,23,1
Channel 3,333,22,1
Channel 3,333,21,1
Channel 3,333,20,1
Channel 3,333,19,4
Channel 3,333,18,2
Channel 3,333,17,1
Channel 3,333,16,1
Channel 3,333,15,1
Channel 3,333,14,1
Channel 3,333,13,1
Channel 3,333,12,1
Channel 3,333,11,1
Channel 3,333,10,1
Channel 3,333,9,2
Channel 3,333,8,1
Channel 3,333,7,1
Channel 3,333,6,2
Channel 3,333,5,1
Channel 3,333,4,3
Channel 3,333,3,1
Channel 3,333,2,1
Channel 1,1949,77,1
Channel 1,1949,71,1
Channel 1,1949,69,1
Channel 1,1949,63,1
Channel 1,1949,60,1
Channel 1,1949,57,1
Channel 1,1949,53,5
Channel 1,1949,52,1
Channel 1,1949,47,1
Channel 1,1949,34,1
Channel 1,1949,31,1
Channel 1,1949,30,1
Channel 1,1949,27,2
Channel 1,1949,24,2
Channel 1,1949,24,1
Channel 1,1949,23,2
Channel 1,1949,22,1
Channel 1,1949,22,3
Channel 1,1949,15,3
Channel 1,1949,11,2
Channel 1,1949,9,2
Channel 1,1949,6,2
Channel 1,1949,3,2
Channel 1,1949,0,3
